Package                           Version                Build                  Size       Kind   Source
hpack                             4.1.0                  pyhd8ed1ab_0           30 KiB     conda  https://conda.anaconda.org/conda-forge/
httpcore                          1.0.9                  pyh29332c3_0           48.3 KiB   conda  https://conda.anaconda.org/conda-forge/
httptools                         0.7.1                  py314h5a2d7ad_1        73.9 KiB   conda  https://conda.anaconda.org/conda-forge/
httpx                             0.28.1                 pyhd8ed1ab_0           61.6 KiB   conda  https://conda.anaconda.org/conda-forge/
hyperframe                        6.1.0                  pyhd8ed1ab_0           17 KiB     conda  https://conda.anaconda.org/conda-forge/
hyperlink                         21.0.0                 pyh29332c3_1           73 KiB     conda  https://conda.anaconda.org/conda-forge/
icu                               78.3                   h637d24d_0             14.3 MiB   conda  https://conda.anaconda.org/conda-forge/
id                                1.6.1                  pyhcf101f3_0           27.3 KiB   conda  https://conda.anaconda.org/conda-forge/
idna                              3.13                   pyhcf101f3_0           57.7 KiB   conda  https://conda.anaconda.org/conda-forge/
importlib-metadata                8.8.0                  pyhcf101f3_0           33.6 KiB   conda  https://conda.anaconda.org/conda-forge/
importlib_resources               7.1.0                  pyhd8ed1ab_0           34 KiB     conda  https://conda.anaconda.org/conda-forge/
inflect                           7.5.0                  pyhd8ed1ab_0           37.5 KiB   conda  https://conda.anaconda.org/conda-forge/
iniconfig                         2.3.0                  pyhd8ed1ab_0           13.1 KiB   conda  https://conda.anaconda.org/conda-forge/
ipykernel                         6.31.0                 pyh6dadd2b_0           125.3 KiB  conda  https://conda.anaconda.org/conda-forge/
ipyleaflet                        0.20.0                 pyhd8ed1ab_0           33.7 KiB   conda  https://conda.anaconda.org/conda-forge/
ipython                           9.13.0                 pyhe2676ad_0           635.3 KiB  conda  https://conda.anaconda.org/conda-forge/
ipython_pygments_lexers           1.1.1                  pyhd8ed1ab_0           13.7 KiB   conda  https://conda.anaconda.org/conda-forge/
ipywidgets                        8.1.8                  pyhd8ed1ab_0           111.7 KiB  conda  https://conda.anaconda.org/conda-forge/
ipywidgets_bokeh                  1.7.0                  pyha770c72_0           1.9 MiB    conda  https://conda.anaconda.org/conda-forge/
